date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:40	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:40%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/password/reset)
00:36:40	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:40%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/password/reset)
00:36:41	382/382	---MC-	302	error ('Found')	text/html	date:Mon,%2003%20Oct%202022%2017:36:41%20GMT	https://ligaciputra138wanderer.com/dashboard	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/dashboard	(from https://ligaciputra138wanderer.com/password/reset)
00:36:41	4526/4526	---M--	200	added ('OK')	image/png	etag:%22607575b6-11ae%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/favicon.png	C:/My%20Web%20Sites/LigaWow/media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/favicon.png	(from https://ligaciputra138wanderer.com/contact-us)
00:36:41	44614/44614	---MCZ	200	added ('OK')	text/css	etag:W/%22607575aa-ae46%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/css/style.css	C:/My%20Web%20Sites/LigaWow/media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/css/style.css	(from https://ligaciputra138wanderer.com/contact-us)
00:36:42	55430/55430	---MCZ	200	added ('OK')	text/css	etag:W/%2263396aff-d886%22	https://ligaciputra138wanderer.com/assets/css/main.css	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/css/main.css	(from https://ligaciputra138wanderer.com/contact-us)
00:36:42	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fe1fb88-1538f%22	https://ligaciputra138wanderer.com/assets/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/js/jquery-3.3.1.min.js	(from https://ligaciputra138wanderer.com/contact-us)
00:36:43	13609/13609	---M--	200	added ('OK')	image/png	etag:%22607575ba-3529%22	https://media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/logo-popup.png	C:/My%20Web%20Sites/LigaWow/media.fastchecker.us/idnsmedia/is/assets/themes/aaaamq/img/logo-popup.png	(from https://ligaciputra138wanderer.com/contact-us)
00:36:43	7415/7415	---M--	200	added ('OK')	image/png	etag:%225fe1fb86-1cf7%22	https://ligaciputra138wanderer.com/assets/img/help-icon/varia_6.png	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/img/help-icon/varia_6.png	(from https://ligaciputra138wanderer.com/contact-us)
00:36:43	4637/4637	---M--	200	added ('OK')	image/png	etag:%225fe1fb86-121d%22	https://ligaciputra138wanderer.com/assets/img/help-icon/varia_7.png	C:/My%20Web%20Sites/LigaWow/ligaciputra138wanderer.com/assets/img/help-icon/varia_7.png	(from https://ligaciputra138wanderer.com/contact-us)
